DATE_DIM,DAY_OF_WEEK,AGE,GENDER,TENURE_IN_DAYS,RESIDENTIAL_STATE,TOTAL_TURNOVER
1/14/2021,5,69,0,3996,0,5
1/14/2021,5,64,0,1520,0,10
1/14/2021,5,43,0,286,0,10
1/14/2021,5,59,0,2352,0,348
1/14/2021,5,67,0,12045,0,0.5
1/14/2021,5,45,1,2581,0,68
1/14/2021,5,76,0,9225,0,18.5
1/14/2021,5,29,0,2269,0,403
1/14/2021,5,80,0,74,0,0
1/14/2021,5,62,0,346,0,36
1/14/2021,5,43,0,499,0,6
1/14/2021,5,56,0,9494,0,93.5
1/14/2021,5,65,0,72,0,10
1/14/2021,5,32,1,2501,0,5
1/14/2021,5,35,0,3136,0,42
1/14/2021,5,52,0,7548,0,92.5
1/14/2021,5,50,0,3063,0,20.5
1/14/2021,5,69,0,3708,0,16
1/14/2021,5,74,1,7616,0,90
1/14/2021,5,47,0,2088,0,100
1/14/2021,5,61,1,8023,1,6
1/14/2021,5,29,0,656,0,177
1/14/2021,5,56,1,2227,0,15
1/14/2021,5,62,0,239,0,45
1/14/2021,5,66,0,11378,0,58
1/14/2021,5,76,0,630,0,106
1/14/2021,5,60,0,9261,0,77
1/14/2021,5,60,0,4110,0,15
1/14/2021,5,52,0,4191,0,4
1/14/2021,5,25,0,425,1,388
1/14/2021,5,59,1,1488,0,9
1/14/2021,5,35,0,2360,0,45
1/14/2021,5,89,0,6117,0,107.5
1/14/2021,5,80,0,12677,0,32
1/14/2021,5,49,0,2703,0,10
1/14/2021,5,58,0,1707,0,30
1/14/2021,5,40,0,859,0,24.5
1/14/2021,5,24,0,619,0,348.5
1/14/2021,5,55,0,1446,0,10
1/14/2021,5,42,0,1547,0,804.61
1/14/2021,5,38,0,3340,1,6026
1/14/2021,5,63,0,11373,0,152
1/14/2021,5,69,0,756,0,65
1/14/2021,5,47,0,208,0,70
1/14/2021,5,46,1,4121,0,434.5
1/14/2021,5,53,0,1904,0,2
1/14/2021,5,41,0,4859,0,30
1/14/2021,5,64,0,13162,0,431
1/14/2021,5,37,0,2623,0,331
1/14/2021,5,43,0,3170,0,38
1/14/2021,5,83,0,1534,0,100
1/14/2021,5,59,0,5616,0,226
1/14/2021,5,60,0,267,0,345
1/14/2021,5,63,0,2049,0,137
1/14/2021,5,35,0,1892,0,30
1/14/2021,5,55,0,1693,0,65
1/14/2021,5,67,1,2922,0,156
1/14/2021,5,56,0,1538,0,20
1/14/2021,5,58,0,2319,0,38
1/14/2021,5,63,0,7484,0,10
1/14/2021,5,29,0,2106,0,126
1/14/2021,5,51,0,3362,0,2.5
1/14/2021,5,36,1,1144,0,20
1/14/2021,5,42,0,2238,1,1986
1/14/2021,5,73,0,344,0,7
1/14/2021,5,37,0,3907,0,5
1/14/2021,5,56,0,73,0,71
1/14/2021,5,57,0,3414,0,46
1/14/2021,5,66,0,292,0,42
1/14/2021,5,32,0,914,0,114
1/14/2021,5,86,0,8232,0,35.5
1/14/2021,5,68,0,3746,0,370
1/14/2021,5,45,0,1188,0,26
1/14/2021,5,54,0,4073,0,39
1/14/2021,5,31,1,1903,0,142.5
1/14/2021,5,59,0,14054,0,77
1/14/2021,5,53,1,82,0,34
1/14/2021,5,58,0,5001,0,2.5
1/14/2021,5,54,1,5923,0,63
1/14/2021,5,70,0,1694,0,83
1/14/2021,5,72,0,506,0,4
1/14/2021,5,53,0,292,0,20
1/14/2021,5,37,0,588,0,140
1/14/2021,5,67,0,4207,0,7.5
1/14/2021,5,41,0,4684,0,220.5
1/14/2021,5,37,0,775,1,4
1/14/2021,5,65,0,7796,0,235
1/14/2021,5,73,0,14777,0,22.5
1/14/2021,5,49,1,4121,0,14
1/14/2021,5,22,0,113,1,737.5
1/14/2021,5,66,0,2056,0,27
1/14/2021,5,44,0,1705,0,1471
1/14/2021,5,46,0,2562,0,3463.5
1/14/2021,5,57,0,2141,0,9
1/14/2021,5,48,0,6123,0,45
1/14/2021,5,35,0,5136,0,15
1/14/2021,5,58,0,7437,0,30
1/14/2021,5,43,0,1734,0,90
1/14/2021,5,64,0,12,0,18
1/14/2021,5,30,0,749,0,50
1/14/2021,5,40,0,3059,0,348
1/14/2021,5,57,0,2157,0,56
1/14/2021,5,60,0,8879,0,36
1/14/2021,5,58,0,1553,0,45
1/14/2021,5,41,1,3464,0,52
1/14/2021,5,63,0,9095,0,36
1/14/2021,5,34,0,2521,0,5
1/14/2021,5,66,0,2342,0,2
1/14/2021,5,29,0,436,1,20.5
1/14/2021,5,51,0,1536,0,20
1/14/2021,5,31,0,1273,0,199
1/14/2021,5,62,0,1540,0,358
1/14/2021,5,26,0,1165,0,15
1/14/2021,5,44,0,563,0,360
1/14/2021,5,31,1,1859,0,7
1/14/2021,5,44,0,73,0,2
1/14/2021,5,47,0,74,0,7
1/14/2021,5,72,1,4933,0,100
1/14/2021,5,76,0,4730,0,60
1/14/2021,5,65,0,8889,0,72
1/14/2021,5,62,0,3646,0,490
1/14/2021,5,39,0,4992,0,24
1/14/2021,5,78,1,14182,0,7
1/14/2021,5,35,0,2,0,8.5
1/14/2021,5,60,0,2470,0,70
1/14/2021,5,65,0,7800,0,20
1/14/2021,5,61,0,7289,0,50
1/14/2021,5,28,0,678,1,92
1/14/2021,5,52,0,277,0,64
1/14/2021,5,30,0,1986,0,15
1/14/2021,5,65,0,19,0,20
1/14/2021,5,27,1,656,0,50
1/14/2021,5,59,0,8906,0,254
1/14/2021,5,74,1,6072,0,8
1/14/2021,5,70,0,7933,0,6
1/14/2021,5,60,0,517,0,209
1/14/2021,5,59,0,2107,0,134
1/14/2021,5,74,0,851,0,24
1/14/2021,5,34,0,67,1,50
1/14/2021,5,48,0,6991,0,20
1/14/2021,5,52,0,8553,0,852
1/14/2021,5,51,0,5490,0,54
1/14/2021,5,63,1,1929,0,170
1/14/2021,5,39,1,3114,0,100
1/14/2021,5,32,0,3113,0,200
1/14/2021,5,60,0,287,0,47.5
1/14/2021,5,30,0,2017,0,101.5
1/14/2021,5,56,1,3056,0,5
1/14/2021,5,65,1,11728,0,51
1/14/2021,5,50,0,6660,0,200
1/14/2021,5,51,0,5547,0,181
1/14/2021,5,46,0,4453,0,41
1/14/2021,5,60,0,9855,0,59.68
1/14/2021,5,36,0,3222,0,50
1/14/2021,5,47,0,95,0,40
1/14/2021,5,39,0,4121,0,826
1/14/2021,5,39,0,3818,0,125
1/14/2021,5,77,0,12325,0,95
1/14/2021,5,68,0,14398,0,4
1/14/2021,5,56,0,8889,0,22
1/14/2021,5,83,0,13723,0,8
1/14/2021,5,53,1,6914,0,156.5
1/14/2021,5,45,0,800,0,30
1/14/2021,5,33,0,601,0,59
1/14/2021,5,74,0,2808,0,60
1/14/2021,5,35,0,3265,0,55
1/14/2021,5,67,0,2161,0,77
1/14/2021,5,71,0,231,0,5
1/14/2021,5,51,0,7701,0,154
1/14/2021,5,56,1,3631,0,3006.52
1/14/2021,5,62,0,3958,0,100
1/14/2021,5,52,0,518,0,9
1/14/2021,5,95,1,14841,0,39
1/14/2021,5,41,0,6986,0,50
1/14/2021,5,61,0,2264,0,15
1/14/2021,5,62,0,1508,0,169
1/14/2021,5,53,0,10,0,32
1/14/2021,5,81,1,4002,0,5
1/14/2021,5,63,0,2073,1,22
1/14/2021,5,34,0,45,1,150
1/14/2021,5,42,1,832,0,90
1/14/2021,5,60,1,2841,0,19.16
1/14/2021,5,39,0,3108,0,184
1/14/2021,5,50,1,6255,0,18.5
1/14/2021,5,41,0,1248,0,1726.5
1/14/2021,5,50,0,1643,0,16
1/14/2021,5,52,0,109,0,55
1/14/2021,5,35,0,1265,1,2888
1/14/2021,5,59,0,230,0,8
1/14/2021,5,37,0,12,1,10
1/14/2021,5,44,0,345,0,14
1/14/2021,5,56,0,1421,0,21
1/14/2021,5,20,0,112,1,50
1/14/2021,5,39,0,4139,0,10
1/14/2021,5,64,0,7125,0,44.5
1/14/2021,5,76,0,4313,0,66
1/14/2021,5,62,0,11676,0,72
1/14/2021,5,84,0,2057,0,10
1/14/2021,5,70,0,14,0,8
1/14/2021,5,46,0,1982,0,10
1/14/2021,5,72,0,12550,0,103
1/14/2021,5,69,0,16217,0,30
1/14/2021,5,28,0,2186,0,1730
1/14/2021,5,44,0,3008,0,254.5
1/14/2021,5,73,1,10995,0,144
1/14/2021,5,62,0,1177,0,25
1/14/2021,5,72,0,14356,0,16
1/14/2021,5,67,0,2562,0,650
1/14/2021,5,57,0,647,0,70
1/14/2021,5,71,0,2266,0,20
1/14/2021,5,38,1,1778,0,12
1/14/2021,5,71,0,2608,0,65
1/14/2021,5,85,1,2097,0,66.5
1/14/2021,5,62,0,7061,0,700.8
1/14/2021,5,75,0,2609,0,20
1/14/2021,5,60,1,2940,0,22.5
1/14/2021,5,66,0,1342,0,44
1/14/2021,5,43,0,3097,0,157
1/14/2021,5,72,0,2821,0,5
1/14/2021,5,38,1,4027,0,199
1/14/2021,5,45,0,910,0,15.5
1/14/2021,5,51,0,1167,0,11
1/14/2021,5,73,0,6749,0,133
1/14/2021,5,45,0,5652,0,19.5
1/14/2021,5,37,0,436,0,94
1/14/2021,5,81,0,2680,0,120
1/14/2021,5,57,0,7021,0,25
1/14/2021,5,102,1,985,0,16
1/14/2021,5,37,0,1072,0,6
1/14/2021,5,59,0,8459,0,36
1/14/2021,5,66,0,3345,0,170
1/14/2021,5,77,1,12419,0,29.5
1/14/2021,5,73,0,1596,0,10
1/14/2021,5,50,0,1768,0,15
1/14/2021,5,55,1,3424,0,128
1/14/2021,5,32,0,209,1,100
1/14/2021,5,44,0,882,0,10
1/14/2021,5,50,0,1164,0,5
1/14/2021,5,64,0,1826,0,275
1/14/2021,5,32,0,72,0,9
1/14/2021,5,62,0,1478,0,50
1/14/2021,5,22,0,227,1,25
1/14/2021,5,36,0,2988,0,78
1/14/2021,5,73,0,12281,0,6
1/14/2021,5,39,0,1454,0,50
1/14/2021,5,65,0,8560,0,30
1/14/2021,5,50,1,3667,0,19
1/14/2021,5,62,0,891,0,90
1/14/2021,5,44,0,1422,0,70.5
1/14/2021,5,51,0,431,0,140
1/14/2021,5,66,0,1316,0,291.18
1/14/2021,5,74,0,40,0,30
1/14/2021,5,31,0,1508,0,25
1/14/2021,5,52,1,3246,0,12
1/14/2021,5,28,1,2691,0,10
1/14/2021,5,57,0,2000,0,46.5
1/14/2021,5,68,0,383,0,11
1/14/2021,5,23,0,1014,0,33.5
1/14/2021,5,67,0,8960,0,20
1/14/2021,5,41,0,1165,0,2
1/14/2021,5,51,0,9466,0,32
1/14/2021,5,58,0,96,0,66
1/14/2021,5,33,0,1314,0,10
1/14/2021,5,73,0,293,0,30
1/14/2021,5,55,0,3886,0,70
1/14/2021,5,50,0,1492,0,297
1/14/2021,5,83,0,1056,0,20
1/14/2021,5,73,0,4235,0,256
1/14/2021,5,68,0,10997,0,46.5
1/14/2021,5,79,0,2936,0,76
1/14/2021,5,59,0,2273,0,355
1/14/2021,5,22,1,273,0,20
1/14/2021,5,66,0,1174,0,2
1/14/2021,5,78,0,6446,0,10
1/14/2021,5,53,0,1460,0,2
1/14/2021,5,26,0,2236,0,30
1/14/2021,5,58,0,6806,0,286
1/14/2021,5,67,1,1901,0,10
1/14/2021,5,52,0,285,0,197
1/14/2021,5,50,0,1868,0,115.5
1/14/2021,5,65,1,2421,0,72
1/14/2021,5,31,1,154,0,153
1/14/2021,5,31,0,772,0,200
1/14/2021,5,47,0,264,0,25
1/14/2021,5,37,0,2661,0,34
1/14/2021,5,30,0,1538,0,29
1/14/2021,5,51,0,497,0,30
1/14/2021,5,64,0,8036,0,10
1/14/2021,5,46,0,666,1,298.8
1/14/2021,5,54,0,1170,0,505
1/14/2021,5,64,1,2296,0,26
1/14/2021,5,34,0,437,0,7.5
1/14/2021,5,37,0,4048,0,1228
1/14/2021,5,59,0,766,0,124
1/14/2021,5,69,0,1179,0,24
1/14/2021,5,50,0,2152,1,35
1/14/2021,5,72,0,1193,0,2
1/14/2021,5,66,0,2637,0,10
1/14/2021,5,23,0,513,1,200
1/14/2021,5,59,0,11350,0,4
1/14/2021,5,60,0,11784,0,24
1/14/2021,5,38,0,1843,0,50
1/14/2021,5,57,0,288,0,136
1/14/2021,5,59,0,833,0,1507.5
1/14/2021,5,56,1,169,0,255
1/14/2021,5,63,0,2343,0,5
1/14/2021,5,49,0,556,1,50
1/14/2021,5,69,0,15057,0,677
1/14/2021,5,46,0,1430,0,37
1/14/2021,5,40,0,3434,0,671.66
1/14/2021,5,55,0,8903,0,48.5
1/14/2021,5,44,0,444,1,550
1/14/2021,5,67,0,5879,0,40
1/14/2021,5,52,0,537,0,11
1/14/2021,5,64,0,14617,0,805.25
1/14/2021,5,59,1,2821,0,75
1/14/2021,5,53,0,3078,0,73
1/14/2021,5,75,0,8737,0,500
1/14/2021,5,53,0,791,0,294
1/14/2021,5,63,0,2992,0,200
1/14/2021,5,54,0,2311,0,19
1/14/2021,5,66,0,2435,0,199
1/14/2021,5,72,0,3757,0,55
1/14/2021,5,59,0,3747,0,20
1/14/2021,5,50,0,2272,0,37.81
1/14/2021,5,68,1,14156,0,45
1/14/2021,5,49,0,1638,0,9065
1/14/2021,5,40,0,3016,0,6
1/14/2021,5,67,0,1405,1,70
1/14/2021,5,22,0,146,0,84.5
1/14/2021,5,45,0,2554,0,5
1/14/2021,5,52,0,164,0,38
1/14/2021,5,36,0,5,1,100
1/14/2021,5,51,0,2329,0,214
1/14/2021,5,61,0,1469,0,4
1/14/2021,5,74,0,1483,0,10
1/14/2021,5,52,0,6709,0,20
1/14/2021,5,59,1,2292,0,344
1/14/2021,5,55,0,832,0,35
1/14/2021,5,71,0,60,1,120
1/14/2021,5,63,0,1217,0,31
1/14/2021,5,70,0,4460,0,20
1/14/2021,5,52,0,7117,0,2
1/14/2021,5,62,0,2583,0,20
1/14/2021,5,74,0,12109,0,169
1/14/2021,5,63,1,4243,0,5
1/14/2021,5,50,1,3059,0,15
1/14/2021,5,73,0,222,0,48
1/14/2021,5,76,1,3871,0,4
1/14/2021,5,52,0,7673,0,52
1/14/2021,5,59,0,2238,0,35
1/14/2021,5,64,0,847,0,160
1/14/2021,5,39,0,1554,0,58
1/14/2021,5,58,0,11256,0,592.35
1/14/2021,5,24,0,229,0,5
1/14/2021,5,73,0,292,0,6
1/14/2021,5,57,0,3512,0,50
1/14/2021,5,64,1,6676,0,20
1/14/2021,5,49,0,4577,0,412
1/14/2021,5,48,1,3547,0,66
1/14/2021,5,56,0,440,1,100
1/14/2021,5,59,0,6850,0,14
1/14/2021,5,46,0,1834,0,7
1/14/2021,5,61,0,3264,0,62.72
1/14/2021,5,41,1,2584,0,10
1/14/2021,5,77,0,625,0,8
1/14/2021,5,36,0,1160,0,48
1/14/2021,5,67,0,2266,0,0.5
1/14/2021,5,40,0,1159,0,19
1/14/2021,5,21,0,630,0,421
1/14/2021,5,25,0,662,1,393
1/14/2021,5,77,1,12636,0,1355.5
1/14/2021,5,73,0,11970,0,67
1/14/2021,5,61,0,2797,0,1661.88
1/14/2021,5,33,0,1501,0,95
1/14/2021,5,56,0,748,0,20.5
1/14/2021,5,40,0,949,0,184
1/14/2021,5,70,0,8830,0,22
1/14/2021,5,56,0,1454,0,175
1/14/2021,5,54,0,7318,0,240
1/14/2021,5,43,0,2473,0,43.5
1/14/2021,5,60,0,3280,0,127.5
1/14/2021,5,50,0,256,0,60
1/14/2021,5,40,0,551,1,7.5
1/14/2021,5,54,0,824,0,0.5
1/14/2021,5,65,0,8137,0,50
1/14/2021,5,95,1,12517,0,2
1/14/2021,5,35,0,3747,0,96
1/14/2021,5,31,0,418,0,10.5
1/14/2021,5,69,0,263,0,7
1/14/2021,5,64,0,2584,0,115
1/14/2021,5,80,0,1250,0,69.5
1/14/2021,5,41,0,5625,0,328.5
1/14/2021,5,57,0,1426,0,22
1/14/2021,5,74,0,1952,0,40
1/14/2021,5,48,0,4503,0,30
1/14/2021,5,44,1,1079,0,7.5
1/14/2021,5,64,0,14982,0,40
1/14/2021,5,78,0,71,1,4
1/14/2021,5,73,1,4004,0,8
1/14/2021,5,73,0,278,0,124
1/14/2021,5,65,1,4031,0,359
1/14/2021,5,69,0,6942,0,192
1/14/2021,5,50,0,3580,0,527
1/14/2021,5,56,0,11331,0,530
1/14/2021,5,77,0,7692,0,1.5
1/14/2021,5,30,0,1465,0,305
1/14/2021,5,31,1,96,1,550
1/14/2021,5,71,0,3975,0,40
1/14/2021,5,60,0,13177,0,31.5
1/14/2021,5,50,1,3807,0,9
1/14/2021,5,77,0,254,0,10
1/14/2021,5,71,0,288,0,150
1/14/2021,5,69,0,255,0,29.5
1/14/2021,5,70,0,5302,0,6
1/14/2021,5,60,0,11247,0,290
1/14/2021,5,73,0,294,0,21
1/14/2021,5,41,0,8017,0,250.5
1/14/2021,5,57,0,8795,0,6
1/14/2021,5,72,0,2278,0,2
1/14/2021,5,23,0,72,0,49
1/14/2021,5,46,0,800,0,20
1/14/2021,5,81,0,2867,0,8
1/14/2021,5,64,1,7061,0,18
1/14/2021,5,79,0,395,0,5
1/14/2021,5,23,0,436,0,40
1/14/2021,5,33,0,3476,0,21
1/14/2021,5,52,1,5052,0,51
1/14/2021,5,36,0,1505,0,1295
1/14/2021,5,55,0,5420,0,30
1/14/2021,5,65,0,286,0,21
1/14/2021,5,51,0,4549,0,20
1/14/2021,5,57,0,1705,0,100
1/14/2021,5,64,0,1591,0,5
1/14/2021,5,39,0,1373,0,23
1/14/2021,5,71,1,6522,0,111
1/14/2021,5,64,0,8415,0,1255.69
1/14/2021,5,45,0,4302,0,31
1/14/2021,5,26,0,2304,0,30
1/14/2021,5,29,0,10,1,120
1/14/2021,5,53,0,6770,0,83.8
1/14/2021,5,49,1,938,0,212
1/14/2021,5,25,0,1177,1,140
1/14/2021,5,71,0,6935,0,9
1/14/2021,5,43,0,1148,0,25.5
1/14/2021,5,77,0,2627,0,25.5
1/14/2021,5,32,0,1906,0,1091
1/14/2021,5,53,0,278,0,45
1/14/2021,5,54,0,1324,0,41.5
1/14/2021,5,27,1,293,0,16.5
1/14/2021,5,51,0,5312,0,100
1/14/2021,5,67,0,1718,0,12
1/14/2021,5,52,0,288,0,2.5
1/14/2021,5,41,0,9,0,265
1/14/2021,5,53,0,754,0,50
1/14/2021,5,49,0,4656,0,66
1/14/2021,5,58,0,27,0,15
1/14/2021,5,41,0,1980,0,68
1/14/2021,5,59,0,1347,0,100
1/14/2021,5,75,0,13664,0,1.5
1/14/2021,5,50,0,4721,0,94.5
1/14/2021,5,62,0,292,0,102
1/14/2021,5,68,0,372,0,5
1/14/2021,5,74,0,15128,0,10
1/14/2021,5,46,0,1752,0,25
1/14/2021,5,61,0,2518,0,178.5
1/14/2021,5,74,0,12934,0,11
1/14/2021,5,64,0,1165,0,5
1/14/2021,5,58,0,922,0,28.5
1/14/2021,5,66,0,3742,0,453
1/14/2021,5,64,1,2617,0,31
1/14/2021,5,36,0,1527,0,46.5
1/14/2021,5,82,0,3214,0,10
1/14/2021,5,23,0,49,1,165.5
1/14/2021,5,48,0,1593,0,63.5
1/14/2021,5,55,0,4442,0,80
1/14/2021,5,30,0,1208,0,10
1/14/2021,5,73,0,2870,0,60
1/14/2021,5,36,0,369,1,268
